timestamp_utc,timestamp_local,price_sek_per_kwh,load_kwh,cost_sek,pv_kwh,export_profit_sek,price_area
2024-10-21T22:00:00+00:00,2024-10-22T00:00:00+02:00,0.0681375,24.912580071930105,0.0408143625,0.0,0.0,SE4
2024-10-21T23:00:00+00:00,2024-10-22T01:00:00+02:00,0.0699875,22.297,0.0207862875,0.0,0.0,SE4
2024-10-22T00:00:00+00:00,2024-10-22T02:00:00+02:00,0.0771375,22.259,0.0199786125,0.0,0.0,SE4
2024-10-22T01:00:00+00:00,2024-10-22T03:00:00+02:00,0.0807125,1.091,0.0880573375,0.0,0.0,SE4
2024-10-22T02:00:00+00:00,2024-10-22T04:00:00+02:00,0.0872875,0.458,0.039977675,0.0,0.0,SE4
2024-10-22T03:00:00+00:00,2024-10-22T05:00:00+02:00,0.095,0.312,0.02964,0.0,0.0,SE4
2024-10-22T04:00:00+00:00,2024-10-22T06:00:00+02:00,0.1223,0.307,0.0375461,0.0,0.0,SE4
2024-10-22T05:00:00+00:00,2024-10-22T07:00:00+02:00,0.2371875,1.763,0.4181615625,0.0,0.0,SE4
2024-10-22T06:00:00+00:00,2024-10-22T08:00:00+02:00,0.380675,1.273,0.484599275,0.0,0.0,SE4
2024-10-22T07:00:00+00:00,2024-10-22T09:00:00+02:00,0.310225,0.988,0.3065023,0.0,0.0,SE4
2024-10-22T08:00:00+00:00,2024-10-22T10:00:00+02:00,0.2367625,0.145,0.0343305625,0.391,0.04434331,SE4
2024-10-22T09:00:00+00:00,2024-10-22T11:00:00+02:00,0.1395875,0.0,0.0,1.442,0.05143614,SE4
2024-10-22T10:00:00+00:00,2024-10-22T12:00:00+02:00,0.1390125,0.0,0.0,2.368,0.08337728,SE4
2024-10-22T11:00:00+00:00,2024-10-22T13:00:00+02:00,0.136875,0.201,0.027511875,1.643,0.0550405,SE4
2024-10-22T12:00:00+00:00,2024-10-22T14:00:00+02:00,0.13215,0.0,0.0,1.846,0.05486312,SE4
2024-10-22T13:00:00+00:00,2024-10-22T15:00:00+02:00,0.1293,0.0,0.0,0.47,0.0128968,SE4
2024-10-22T14:00:00+00:00,2024-10-22T16:00:00+02:00,0.134725,0.684,0.0921519,0.182,0.00578396,SE4
2024-10-22T15:00:00+00:00,2024-10-22T17:00:00+02:00,0.1380125,0.629,0.0868098625,0.0,0.0,SE4
2024-10-22T16:00:00+00:00,2024-10-22T18:00:00+02:00,0.1365875,0.366,0.049991025,0.0,0.0,SE4
2024-10-22T17:00:00+00:00,2024-10-22T19:00:00+02:00,0.1275875,0.602,0.076807675,0.0,0.0,SE4
2024-10-22T18:00:00+00:00,2024-10-22T20:00:00+02:00,0.1082875,12.487,0.1610235125,0.0,0.0,SE4
2024-10-22T19:00:00+00:00,2024-10-22T21:00:00+02:00,0.102,14.70090973223944,0.063546,0.0,0.0,SE4
2024-10-22T20:00:00+00:00,2024-10-22T22:00:00+02:00,0.095,22.978,0.09291,0.0,0.0,SE4
2024-10-22T21:00:00+00:00,2024-10-22T23:00:00+02:00,0.0835625,11.753,0.0629225625,0.0,0.0,SE4
2024-10-22T22:00:00+00:00,2024-10-23T00:00:00+02:00,0.095,26.00258789382448,0.064695,0.0,0.0,SE4
2024-10-22T23:00:00+00:00,2024-10-23T01:00:00+02:00,0.094425,12.317,0.124357725,0.0,0.0,SE4
2024-10-23T00:00:00+00:00,2024-10-23T02:00:00+02:00,0.0873,11.294,0.0256662,0.0,0.0,SE4
2024-10-23T01:00:00+00:00,2024-10-23T03:00:00+02:00,0.0835875,0.272,0.0227358,0.0,0.0,SE4
2024-10-23T02:00:00+00:00,2024-10-23T04:00:00+02:00,0.086725,0.63,0.05463675,0.0,0.0,SE4
2024-10-23T03:00:00+00:00,2024-10-23T05:00:00+02:00,0.095,0.988,0.09386,0.0,0.0,SE4
2024-10-23T04:00:00+00:00,2024-10-23T06:00:00+02:00,0.10185,0.322,0.0327957,0.0,0.0,SE4
